time,close,open,volume,signal,beta,kappa,xi,ret,ret_etf
2021-10-10 10:00:00,59.86,59.97,2497.425,3.7488138889557936,0.9474339094554834,12.57653820675293,6.759586880968928e-05,-0.0010013351134846582,0.0006539003354786299
2021-10-10 11:00:00,59.98,59.9,4401.599,3.929481164105047,0.9476271359502363,13.292686850200434,6.738727506188207e-05,0.002004677581022296,0.0025197600176634083
2021-10-10 12:00:00,59.79,59.98,3427.528,3.940001509068763,0.9482657545043225,13.025722358648132,6.727156201952825e-05,-0.0031677225741914006,-0.0037251863454184075
2021-10-10 13:00:00,60.13,59.82,3017.645,3.879047503634724,0.9464333048510625,14.16373460320825,6.686843124710656e-05,0.005686569660478424,0.00534258090105566
2021-10-10 14:00:00,60.02,60.19,5392.105,3.824151243006185,0.9497405474986297,12.607069548951944,6.578767283786534e-05,-0.0018293696989855057,-0.0019152726662012842
2021-10-10 15:00:00,59.93,60.02,4928.986,3.2524295728128942,0.949262118217751,12.452437012432727,6.569000711311422e-05,-0.0014995001666111563,0.0045697181197246195
2021-10-10 16:00:00,59.53,59.9,8014.867,2.7671940243054154,0.9399827240428812,12.100479506076464,6.605375027885602e-05,-0.00667445352911733,0.0015773790238371443
2021-10-10 17:00:00,59.12,59.51,24522.751,2.355261474600341,0.936626704837135,11.528324012798478,6.663177676682742e-05,-0.006887283722492921,-0.002290706949180543
2021-10-10 18:00:00,59.37,59.15,15094.893,2.0215331733378465,0.9422801426979049,9.170991548580158,6.483973036625819e-05,0.004228687415426258,-0.0004721623790625573
2021-10-10 19:00:00,59.26,59.37,5419.211,1.7660123191768777,0.9405573876821485,10.525869298844135,6.475700928095817e-05,-0.0018527876031665391,0.0025057751557435726
2021-10-10 20:00:00,58.41,59.25,7625.173,1.8569538203480713,0.9368854502463413,11.190021948696323,6.348891750568642e-05,-0.014343570705366182,-0.0005919801827243276
2021-10-10 21:00:00,57.39,58.33,26132.916,1.658048895432971,0.9434361036506518,9.097406981485024,6.501398275195804e-05,-0.01746276322547502,-0.011042713293660578
2021-10-10 22:00:00,57.36,57.39,13916.967,1.594700940116485,0.9770996917572932,8.081709186717006,6.552532603749234e-05,-0.000522739153162588,0.0017375600403868319
2021-10-10 23:00:00,56.88,57.36,21933.667,1.538769717656659,0.9771603350317134,7.7407936641347055,6.549067663776649e-05,-0.008368200836819994,-0.004269456020324469
2021-10-11 00:00:00,57.93,56.87,18308.793,1.4792531470893497,0.9848172538799693,8.081431180286586,6.373267013932384e-05,0.01845991561181437,0.00837914717593713
2021-10-11 01:00:00,57.54,57.91,13589.359,2.521910788963763,1.0330825087036684,9.955972805707463,6.288461897102895e-05,-0.006732263076126399,0.0037097822091833876
2021-10-11 02:00:00,57.49,57.54,11884.994,1.3020684782079321,1.0178275820876095,6.846145493550656,6.211622144485984e-05,-0.0008689607229752649,0.008761163274943584
2021-10-11 03:00:00,57.41,57.57,17003.375,0.4393741559937905,0.982697662869087,5.604141458499892,6.272178792687637e-05,-0.001391546355888118,0.012243379727979065
2021-10-11 04:00:00,58.51,57.43,12055.686,-0.12843277644606468,0.9147739211114317,4.549919082989013,6.393158461331934e-05,0.01916042501306392,-0.0007722658030971941
2021-10-11 05:00:00,58.19,58.49,6873.655,0.5619525620808727,0.899595684648989,7.8552741991964155,6.721647052619707e-05,-0.0054691505725517064,0.0012606602814460022
2021-10-11 06:00:00,58.07,58.24,2511.021,0.23574434871897673,0.8971459003907591,6.863928236816144,6.736426178795969e-05,-0.0020622100017184675,0.00266810304734566
2021-10-11 07:00:00,58.41,58.06,3398.233,-0.07694718585371513,0.8929929555594317,6.429351359496273,6.734204185877791e-05,0.005855002583089242,0.0017841137684695418
2021-10-11 08:00:00,59.12,58.47,2985.2,-0.23101864068147487,0.8954506824604355,7.257649306847494,6.193130228361727e-05,0.0121554528334189,-0.00411485032634662
2021-10-11 09:00:00,58.23,59.19,3105.347,-0.437836328313749,0.8517856267226115,10.091709435081139,6.374486834351668e-05,-0.01505412719891741,-0.0009231392036289643
2021-10-11 10:00:00,57.44,58.23,4828.681,-0.7675424390620433,0.8630640262536657,8.021899233162342,6.525405285573382e-05,-0.013566889919285563,-0.0053041963789485225
2021-10-11 11:00:00,57.44,57.44,5770.375,-0.8478936551868351,0.8886570374434828,7.010787925903303,6.594104379270556e-05,0.0,0.003662311667917084
2021-10-11 12:00:00,57.66,57.51,6944.422,-1.2371103246823094,0.8862301279928543,7.774202398015219,6.125320008791961e-05,0.0038300835654596632,0.001198119731862235
2021-10-11 13:00:00,57.11,57.74,14620.144,-1.7870744221477652,0.8889812405129416,7.9629920429107495,6.129982932102509e-05,-0.009538674991328433,0.013284099265454374
2021-10-11 14:00:00,56.99,57.09,39594.595,-2.1895820592285236,0.7515349704276971,7.065153509694696,6.53715025915476e-05,-0.0021012081947119343,0.003954245083180874
2021-10-11 15:00:00,56.49,57.0,21516.641,-2.319619809696053,0.7427389052289818,7.161539065960417,6.537702174554229e-05,-0.008773469029654368,0.0007084177816867321
